District,Latitude,Longitude
Panchagarh Sadar,26.38911,88.614484
Debiganj,26.106746,88.730153
Boda,26.24744,88.614484
Atwari,26.245454,88.421001
Tetulia,26.517007,88.430695
Badarganj,25.653968,89.070477
Mithapukur,25.613733,89.284725
Gangachara,25.873792,89.227703
Kaunia,25.774166,89.43166
Rangpur Sadar,25.731814,89.227703
Pirgachha,25.685349,89.417464
Pirganj,25.436218,89.313206
Taraganj,25.778018,89.037048
Thakurgaon Sadar ,26.080287,88.440388
Pirganj ,25.819123,88.343362
Baliadangi ,26.090234,88.275314
Haripur ,25.86409,88.148657
Ranisankail ,25.892046,88.258286
Ajmiriganj,24.548922,91.236171
Baniachang,24.506322,91.356569
Bahubal,24.341248,91.537811
Chunarughat,24.184329,91.482148
Habiganj Sadar,24.351263,91.424143
Lakhai,24.305092,91.269847
Madhabpur,24.099822,91.296327
Nabiganj,24.567188,91.513601
Shaistagonj ,24.276697,91.455553
Moulvibazar Sadar,24.467064,91.714958
Barlekha,24.721927,92.203993
Juri,24.58006,92.164672
Kamalganj,24.275148,91.870861
Kulaura,24.525464,92.034666
Rajnagar,24.560229,91.870861
Sreemangal,24.30096,91.695509
Bishwamvarpur,25.098757,91.299939
Chhatak,25.038747,91.669996
Derai,24.755233,91.404825
Dharampasha,24.899324,91.011951
Dowarabazar,25.109403,91.578999
Jagannathpur,24.75371,91.559612
Jamalganj,24.970664,91.192911
Sulla,24.670423,91.262629
Sunamganj Sadar,25.016453,91.385516
Shanthiganj,NULL,NULL
Tahirpur,25.099049,91.1755
Sylhet Sadar,24.964447,91.812332
Beanibazar,24.821961,92.158531
Bishwanath,24.823004,91.734416
Dakshin Surma ,24.821123,91.890388
Balaganj,24.680128,91.773357
Companiganj,25.088167,91.755099
Fenchuganj,24.68945,91.978367
Golapganj,24.858063,92.015076
Gowainghat,25.104767,91.968583
Jaintiapur,25.133783,92.121704
Kanaighat,25.00882,92.255654
Zakiganj,24.878121,92.367789
Nobigonj,24.567188,91.513601
